,appid,tags,genre
10,10,"Action, FPS, Multiplayer, Shooter",Action
1007040,1007040,"Action, Online Co-Op, Mechs, Third-Person Shooter",Action
10090,10090,"Zombies, World War II, FPS, Multiplayer",Action
1009290,1009290,"RPG, Action, Adventure, Anime","Action, Adventure, RPG"
1009560,1009560,"Management, City Builder, Design & Illustration, Life Sim","Casual, Indie, Simulation"
1009850,1009850,"VR, Utilities, Free to Play, Software",Utilities
1012790,1012790,"VR, Survival, Atmospheric, Open World",Indie
1013320,1013320,"Idler, Free to Play, RPG, Clicker","Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Early Access"
1016120,1016120,"Sports, Simulation, Local Multiplayer, Golf","Simulation, Sports"
1016920,1016920,"Open World Survival Craft, Multiplayer, Co-op, Online Co-Op","Action, Casual, Indie"
1017100,1017100,"Idler, Free to Play, Clicker, Strategy","Free to Play, Indie, Strategy"
1017180,1017180,"Automobile Sim, Open World, Driving, Survival","Action, Adventure, Casual, Indie, Simulation, Early Access"
1017900,1017900,"Strategy, RTS, Multiplayer, City Builder",Strategy
10180,10180,"Action, FPS, Multiplayer, Shooter",Action
1022450,1022450,"Strategy, Base-Building, Free to Play, RTS","Free to Play, Indie, Massively Multiplayer, Strategy, Early Access"
1029550,1029550,"Free to Play, Racing, Multiplayer, Asynchronous Multiplayer",Racing
1029690,1029690,"Action, Adventure, Stealth, Singleplayer","Action, Adventure"
1029780,1029780,"Early Access, City Builder, Medieval, Colony Sim","Indie, RPG, Simulation, Strategy, Early Access"
1030830,1030830,"Action, Adventure, Crime, Open World","Action, Adventure"
1030840,1030840,"Action, Open World, Story Rich, Crime","Action, Adventure"
1031140,1031140,"Deckbuilding, Card Game, Multiplayer, Board Game","Adventure, Free to Play, Strategy"
1041320,1041320,"Massively Multiplayer, Free to Play, Strategy, Gore","Massively Multiplayer, RPG, Strategy"
1041720,1041720,"RPG, Action, Singleplayer, Fantasy","Action, RPG"
1042550,1042550,"Creature Collector, JRPG, Anime, Turn-Based",RPG
1044720,1044720,"Early Access, City Builder, Survival, Colony Sim","Indie, Simulation, Strategy, Early Access"
1046930,1046930,"Free to Play, Strategy, Casual, Auto Battler","Casual, Free to Play, Strategy"
1049590,1049590,"Free to Play, Anime, MOBA, Multiplayer","Free to Play, Indie, Strategy, Early Access"
1049800,1049800,"Free to Play, Action, FPS, Shooter","Action, Free to Play, Indie, Massively Multiplayer"
10500,10500,"Strategy, Historical, Military, Grand Strategy",Strategy
1054490,1054490,"Building, Board Game, Card Game, Strategy","Indie, Strategy"
105450,105450,"Strategy, RTS, Base-Building, Multiplayer","Simulation, Strategy"
105600,105600,"Open World Survival Craft, Sandbox, Survival, 2D","Action, Adventure, Indie, RPG"
1056600,1056600,"Survival Horror, Action, Multiplayer, Horror","Action, Indie, Strategy, Early Access"
